================ Training Loss (Sun Sep 21 20:17:24 2025) ================
(Train - epoch: 4 | iters: 65/106 | time: 0.197) l_pix: 1.030586 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000012 l_landmark: 140.907639 l_tot: 141.938232 
(Train - epoch: 4 | iters: 70/106 | time: 0.186) l_pix: 1.055269 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000014 l_landmark: 41.079445 l_tot: 42.134731 
(Train - epoch: 4 | iters: 75/106 | time: 0.193) l_pix: 1.130486 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000009 l_landmark: 107.888123 l_tot: 109.018616 
(Train - epoch: 4 | iters: 80/106 | time: 0.185) l_pix: 1.081458 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000010 l_landmark: 82.739243 l_tot: 83.820709 
(Train - epoch: 4 | iters: 85/106 | time: 0.181) l_pix: 1.107120 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000006 l_landmark: 55.287521 l_tot: 56.394650 
(Train - epoch: 4 | iters: 90/106 | time: 0.182) l_pix: 1.071548 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000007 l_landmark: 69.888672 l_tot: 70.960228 
(Train - epoch: 4 | iters: 95/106 | time: 0.201) l_pix: 1.129961 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000021 l_landmark: 63.255859 l_tot: 64.385841 
(Train - epoch: 4 | iters: 100/106 | time: 0.186) l_pix: 1.067473 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000022 l_landmark: 280.990112 l_tot: 282.057617 
(Train - epoch: 4 | iters: 105/106 | time: 0.187) l_pix: 1.079667 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000020 l_landmark: 184.133499 l_tot: 185.213181 
(Train - epoch: 5 | iters: 5/106 | time: 0.191) l_pix: 1.087844 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000012 l_landmark: 233.158112 l_tot: 234.245972 
(Train - epoch: 5 | iters: 10/106 | time: 0.189) l_pix: 1.052216 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000007 l_landmark: 120.596733 l_tot: 121.648956 
(Train - epoch: 5 | iters: 15/106 | time: 0.186) l_pix: 1.064742 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000018 l_landmark: 165.766937 l_tot: 166.831696 
(Train - epoch: 5 | iters: 20/106 | time: 0.185) l_pix: 1.185987 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000010 l_landmark: 177.388443 l_tot: 178.574448 
(Train - epoch: 5 | iters: 25/106 | time: 0.194) l_pix: 1.059952 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000021 l_landmark: 116.748657 l_tot: 117.808632 
(Train - epoch: 5 | iters: 30/106 | time: 0.183) l_pix: 1.070932 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000013 l_landmark: 120.292244 l_tot: 121.363190 
(Train - epoch: 5 | iters: 35/106 | time: 0.189) l_pix: 1.079727 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000014 l_landmark: 217.198257 l_tot: 218.278000 
(Train - epoch: 5 | iters: 40/106 | time: 0.219) l_pix: 1.023253 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000020 l_landmark: 218.631226 l_tot: 219.654495 
(Train - epoch: 5 | iters: 45/106 | time: 0.191) l_pix: 1.058522 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000021 l_landmark: 117.268715 l_tot: 118.327263 
(Train - epoch: 5 | iters: 50/106 | time: 0.189) l_pix: 1.080395 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000014 l_landmark: 99.633644 l_tot: 100.714058 
(Train - epoch: 5 | iters: 55/106 | time: 0.186) l_pix: 1.063658 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000007 l_landmark: 91.526070 l_tot: 92.589737 
(Train - epoch: 5 | iters: 60/106 | time: 0.195) l_pix: 1.052579 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000009 l_landmark: 160.070419 l_tot: 161.123016 
(Train - epoch: 5 | iters: 65/106 | time: 0.188) l_pix: 1.015090 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000021 l_landmark: 291.819611 l_tot: 292.834717 
(Train - epoch: 5 | iters: 70/106 | time: 0.208) l_pix: 1.048220 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000005 l_landmark: 45.633068 l_tot: 46.681293 
(Train - epoch: 5 | iters: 75/106 | time: 0.194) l_pix: 1.071728 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000019 l_landmark: 150.305038 l_tot: 151.376785 
(Train - epoch: 5 | iters: 80/106 | time: 0.195) l_pix: 1.080967 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000025 l_landmark: 151.750946 l_tot: 152.831940 
(Train - epoch: 5 | iters: 85/106 | time: 0.194) l_pix: 1.095572 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000005 l_poly: 0.000031 l_landmark: 111.937546 l_tot: 113.033157 
(Train - epoch: 5 | iters: 90/106 | time: 0.194) l_pix: 1.106228 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000008 l_landmark: 240.756516 l_tot: 241.862762 
(Train - epoch: 5 | iters: 95/106 | time: 0.192) l_pix: 1.037131 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000009 l_landmark: 59.779568 l_tot: 60.816708 
(Train - epoch: 5 | iters: 100/106 | time: 0.183) l_pix: 1.060544 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000007 l_landmark: 42.131931 l_tot: 43.192482 
(Train - epoch: 5 | iters: 105/106 | time: 0.184) l_pix: 1.086080 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000005 l_landmark: 186.753021 l_tot: 187.839096 
(Train - epoch: 6 | iters: 5/106 | time: 0.187) l_pix: 1.060502 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000006 l_landmark: 129.129929 l_tot: 130.190430 
(Train - epoch: 6 | iters: 10/106 | time: 0.184) l_pix: 1.144024 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000013 l_landmark: 202.492340 l_tot: 203.636383 
(Train - epoch: 6 | iters: 15/106 | time: 0.192) l_pix: 1.100647 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000020 l_landmark: 102.423416 l_tot: 103.524086 
(Train - epoch: 6 | iters: 20/106 | time: 0.193) l_pix: 1.033759 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000009 l_landmark: 44.020626 l_tot: 45.054394 
(Train - epoch: 6 | iters: 25/106 | time: 0.187) l_pix: 1.027805 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000007 l_landmark: 43.914391 l_tot: 44.942204 
(Train - epoch: 6 | iters: 30/106 | time: 0.187) l_pix: 1.071630 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000008 l_landmark: 155.469025 l_tot: 156.540665 
(Train - epoch: 6 | iters: 35/106 | time: 0.184) l_pix: 1.035674 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000005 l_landmark: 69.409843 l_tot: 70.445526 
(Train - epoch: 6 | iters: 40/106 | time: 0.194) l_pix: 1.042628 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000016 l_landmark: 112.693047 l_tot: 113.735687 
(Train - epoch: 6 | iters: 45/106 | time: 0.196) l_pix: 1.076302 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000008 l_landmark: 204.651230 l_tot: 205.727554 
(Train - epoch: 6 | iters: 50/106 | time: 0.189) l_pix: 1.031546 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000010 l_landmark: 54.326958 l_tot: 55.358517 
(Train - epoch: 6 | iters: 55/106 | time: 0.188) l_pix: 1.099420 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000013 l_landmark: 132.080536 l_tot: 133.179977 
(Train - epoch: 6 | iters: 60/106 | time: 0.195) l_pix: 1.078419 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000009 l_landmark: 153.585846 l_tot: 154.664276 
(Train - epoch: 6 | iters: 65/106 | time: 0.198) l_pix: 1.073415 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000013 l_landmark: 135.771698 l_tot: 136.845123 
